"rgn_id","year","value_prop"
1,2014,NA
1,2015,NA
1,2016,NA
1,2017,1
1,2018,1
1,2019,NA
2,2014,0.197795535
2,2015,0.231304765
2,2016,0.230407603
2,2017,0.217617851
2,2018,0.216201853
2,2019,0.217229595
3,2014,0.227573451
3,2015,0.207017794
3,2016,0.204488989
3,2017,0.216355865
3,2018,0.21720336
3,2019,0.183921633
4,2014,0.956097043
4,2015,0.819115617
4,2016,0.696963019
4,2017,0.733032155
4,2018,0.384902465
4,2019,0.523753702
5,2014,0.162391743
5,2015,0.150167098
5,2016,0.164368692
5,2017,0.181301968
5,2018,0.19219934
5,2019,0.220919995
6,2014,0.10468838
6,2015,0.100843724
6,2016,0.103624602
6,2017,0.100058936
6,2018,0.097294003
6,2019,0.101368173
