"year","rgn_id","nutrients"
2002,"1",34.0941982779881
2003,"1",33.9035148424288
2004,"1",31.8822704255011
2005,"1",29.8038209779057
2006,"1",29.5368641681228
2007,"1",29.3843174196754
2008,"1",24.5028214693594
2009,"1",27.6681664996424
2010,"1",28.5453103032148
2011,"1",27.5918931254187
2012,"1",27.8397815916457
2013,"1",29.4605907938991
2014,"1",28.9266771743333
2015,"1",28.4690369289912
2016,"1",29.0601555792247
2002,"2",29.3681150582649
2003,"2",29.2038638554782
2004,"2",27.462801105939
2005,"2",25.6724629955638
2006,"2",25.4425113116624
2007,"2",25.311110349433
2008,"2",21.1062795580931
2009,"2",23.8328495243526
2010,"2",24.5884050571715
2011,"2",23.7671490432379
2012,"2",23.9806756068606
2013,"2",25.3768108305477
2014,"2",24.9169074627449
2015,"2",24.5227045760568
2016,"2",25.0318833046956
2002,"3",22.6680286107161
2003,"3",22.541249927211
2004,"3",21.1973958820567
2005,"3",19.8155082318508
2006,"3",19.6380180749437
2007,"3",19.5365951281396
2008,"3",16.2910608304084
2009,"3",18.3955869765935
2010,"3",18.978768920717
2011,"3",18.3448755031914
2012,"3",18.5096877917481
2013,"3",19.5873066015416
2014,"3",19.2323262877273
2015,"3",18.928057447315
2016,"3",19.3210713661809
2002,"4",0.612016592972727
2003,"4",0.60859368137892
2004,"4",0.572310818484563
2005,"4",0.535001082112065
2006,"4",0.530209005880735
2007,"4",0.527470676605689
2008,"4",0.439844139804225
2009,"4",0.496664472261424
2010,"4",0.512409865592937
2011,"4",0.495295307623901
2012,"4",0.499745092695851
2013,"4",0.528839841243212
2014,"4",0.519255688780552
2015,"4",0.511040700955415
2016,"4",0.521651726896217
2002,"5",20.2949792394382
2003,"5",20.1814726441393
2004,"5",18.9783027339713
2005,"5",17.7410808452136
2006,"5",17.5821716117952
2007,"5",17.4913663355561
2008,"5",14.585597495905
2009,"5",16.4698069778662
2010,"5",16.991937316241
2011,"5",16.4244043397467
2012,"5",16.5719629136352
2013,"5",17.5367689736756
2014,"5",17.2189505068388
2015,"5",16.9465346781215
2016,"5",17.298405123548
2002,"6",26.2070874577566
2003,"6",26.0605153802523
2004,"6",24.5068513587075
2005,"6",22.9092157139114
2006,"6",22.7040148054054
2007,"6",22.5867571434021
2008,"6",18.8345119592937
2009,"6",21.267608445864
2010,"6",21.9418400023834
2011,"6",21.2089796148623
2012,"6",21.3995233156178
2013,"6",22.6453859744038
2014,"6",22.2349841573919
2015,"6",21.8832111713818
2016,"6",22.3375846116449
