"rgn_id","year","health","habitat","status","data_year","region_id"
1,2007,0,"sand dune",0,2007,1
1,2008,0,"sand dune",0,2008,1
1,2009,0,"sand dune",0,2009,1
1,2010,0,"sand dune",0,2010,1
1,2011,0,"sand dune",0,2011,1
1,2012,0.4,"sand dune",40,2012,1
1,2013,0.4,"sand dune",40,2013,1
1,2014,0.4,"sand dune",40,2014,1
1,2015,0.4,"sand dune",40,2015,1
1,2016,0.4,"sand dune",40,2016,1
1,2017,0.4,"sand dune",40,2017,1
2,2007,0.153846153846154,"sand dune",15.3846153846154,2007,2
2,2008,0.153846153846154,"sand dune",15.3846153846154,2008,2
2,2009,0.153846153846154,"sand dune",15.3846153846154,2009,2
2,2010,0.153846153846154,"sand dune",15.3846153846154,2010,2
2,2011,0.153846153846154,"sand dune",15.3846153846154,2011,2
2,2012,0.0769230769230769,"sand dune",7.69230769230769,2012,2
2,2013,0.153846153846154,"sand dune",15.3846153846154,2013,2
2,2014,0.153846153846154,"sand dune",15.3846153846154,2014,2
2,2015,0.153846153846154,"sand dune",15.3846153846154,2015,2
2,2016,0.153846153846154,"sand dune",15.3846153846154,2016,2
2,2017,0.153846153846154,"sand dune",15.3846153846154,2017,2
3,2007,0.7,"sand dune",70,2007,3
3,2008,0.7,"sand dune",70,2008,3
3,2009,0.7,"sand dune",70,2009,3
3,2010,0.1875,"sand dune",18.75,2010,3
3,2011,0.294117647058824,"sand dune",29.4117647058824,2011,3
3,2012,0.294117647058824,"sand dune",29.4117647058824,2012,3
3,2013,0.294117647058824,"sand dune",29.4117647058824,2013,3
3,2014,0.294117647058824,"sand dune",29.4117647058824,2014,3
3,2015,0.294117647058824,"sand dune",29.4117647058824,2015,3
3,2016,0.294117647058824,"sand dune",29.4117647058824,2016,3
3,2017,0.294117647058824,"sand dune",29.4117647058824,2017,3
4,2007,1,"sand dune",100,2007,4
4,2008,1,"sand dune",100,2008,4
4,2009,1,"sand dune",100,2009,4
4,2010,1,"sand dune",100,2010,4
4,2011,1,"sand dune",100,2011,4
4,2012,1,"sand dune",100,2012,4
4,2013,1,"sand dune",100,2013,4
4,2014,1,"sand dune",100,2014,4
4,2015,1,"sand dune",100,2015,4
4,2016,1,"sand dune",100,2016,4
4,2017,1,"sand dune",100,2017,4
5,2007,0,"sand dune",0,2007,5
5,2008,0,"sand dune",0,2008,5
5,2009,0,"sand dune",0,2009,5
5,2010,0,"sand dune",0,2010,5
5,2011,0,"sand dune",0,2011,5
5,2012,0,"sand dune",0,2012,5
5,2013,0,"sand dune",0,2013,5
5,2014,0,"sand dune",0,2014,5
5,2015,0,"sand dune",0,2015,5
5,2016,0,"sand dune",0,2016,5
5,2017,0,"sand dune",0,2017,5
6,2007,0,"sand dune",0,2007,6
6,2008,0,"sand dune",0,2008,6
6,2009,0,"sand dune",0,2009,6
6,2010,0,"sand dune",0,2010,6
6,2011,0,"sand dune",0,2011,6
6,2012,0,"sand dune",0,2012,6
6,2013,0,"sand dune",0,2013,6
6,2014,0,"sand dune",0,2014,6
6,2015,0,"sand dune",0,2015,6
6,2016,0,"sand dune",0,2016,6
6,2017,0,"sand dune",0,2017,6
